"name","address","lng","lat"
"FQHC58","13500 Airport Rd,Boonville,Mendocino","-123.37925193282,","39.0132286182141"
"FQHC59","1381 University St,Healdsburg,Sonoma","-122.863805751966,","38.627476570308"
"FQHC60","1385 Mission St,San Miguel,San Luis Obispo","-120.69624318006,","35.752541062783"
"FQHC61","140 C St,Lemoore,Kings","-119.782439518832,","36.3017619741813"
"FQHC62","140 Elm St,San Diego,San Diego","-117.163494568438,","32.724115533967"
"FQHC63","1400 N Main St,Santa Ana,Orange","-117.867660110511,","33.756785435335"
"FQHC64","1401 S Grand Ave,Los Angeles,Los Angeles","-118.265476981911,","34.037170904257"
"FQHC65","1405 California Ave,Dos Palos,Merced","-120.629006351847,","36.986656990761"
"FQHC66","1411 E 31st St,Oakland,Alameda","-122.233171735208,","37.799540339877"
"FQHC67","1418 E Main St,Santa Maria,Santa Barbara","-120.414622157324,","34.952834285"
"FQHC68","1424 Crusado Ln,Los Angeles,Los Angeles","-118.195333412132,","34.057694229976"
"FQHC69","1424 Madera Blvd,Simi Valley,Ventura","-118.796147121584,","34.264850475535"
"FQHC70","1430 Freedom Blvd,Watsonville,Santa Cruz","-121.764581882759,","36.92651732231"
"FQHC71","145 N Clark St,Fresno,Fresno","-119.786071809727,","36.744088482132"
"FQHC72","150 Tejas Pl,Nipomo,San Luis Obispo","-120.498939101128,","35.026659280549"
"FQHC73","1510 Florida Ave,Modesto,Stanislaus","-120.996146427364,","37.665747606278"
"FQHC74","1515 Fruitvale Ave,Oakland,Alameda","-122.225297108485,","37.778978345687"
"FQHC75","1540 Florida Ave,Modesto,Stanislaus","-120.996151588474,","37.666266303832"
"FQHC76","1551 Bishop St,San Luis Obispo,San Luis Obispo","-120.646385859231,","35.274139837347"
"FQHC77","160 Capp St,San Francisco,San Francisco","-122.418677419205,","37.764122453037"
"FQHC78","1625 E Fourth St,Los Angeles,Los Angeles","-118.222543368893,","34.042984249032"
"FQHC79","1625 Fourth St,Los Angeles,Los Angeles","-118.267846817864,","34.059581209449"
"FQHC80","16300 Cloverdale Rd,Happy Valley,Shasta","-122.454003233999,","40.4746437580314"
"FQHC81","16453 Bear Valley Rd,Hesperia,San Bernardino","-117.304642933208,","34.470790322792"
"FQHC82","1646 S Olive St,Los Angeles,Los Angeles","-118.265602695546,","34.034818993375"
"FQHC83","1649 W Washington Blvd,Los Angeles,Los Angeles","-118.293327404118,","34.040051052438"
"FQHC84","165 S 1st St,El Cajon,San Diego","-116.944520471689,","32.794080513351"
"FQHC85","16650 Hwy 76,Pauma Valley,San Diego","-116.969288314057,","33.293593358178"
"FQHC86","1695 N Sunrise Way,Palm Springs,Riverside","-116.528253651486,","33.844749478709"
