street_address,city,county,site_type
45 Nielson St,Watsonville,Santa Cruz,FQHC
450 W Clara St,Oxnard,Ventura,FQHC
452 S Main St,Los Angeles,Los Angeles,FQHC
455 W Montana St,Pasadena,Los Angeles,FQHC
460 N Elm St,Escondido,San Diego,FQHC
4641 Missouri Flat Rd,Placerville,El Dorado,FQHC
4650 W Sunset Blvd,Los Angeles,Los Angeles,FQHC
4725 Market St,San Diego,San Diego,FQHC
4874 Polk Ave,San Diego,San Diego,FQHC
500 E Main St,Santa Paula,Ventura,FQHC
501 N Bridge St,Visalia,Tulare,FQHC
5059 York Blvd,Los Angeles,Los Angeles,FQHC
517 S Madera Ave,Kerman,Fresno,FQHC
522 S San Pedro St,Los Angeles,Los Angeles,FQHC
5220 Claremont Ave,Oakland,Alameda,FQHC
525 E Main St,El Cajon,San Diego,FQHC
5275 Claremont Ave,Oakland,Alameda,FQHC
5335 Lakeshore Blvd,Lakeport,Lake,FQHC
535 S Second Ave,Covina,Los Angeles,FQHC
5400 Telegraph Ave,Alameda,Alameda,FQHC
5425 Pomona Blvd,Los Angeles,Los Angeles,FQHC
5427 E Whittier Blvd,Los Angeles,Los Angeles,FQHC
5454 El Cajon Blvd,San Diego,San Diego,FQHC
550 E Washington Blvd,Crescent City,Del Norte,FQHC
55497 Van Buren St,Thermal,Riverside,FQHC
600 Nut Tree Rd,Vacaville,Solano,FQHC
601 S San Pedro St,Los Angeles,Los Angeles,FQHC
612 Spring Rd,Moorpark,Ventura,FQHC
616 16th St,Oakland,Alameda,FQHC
6336 Passons Blvd,Pico Rovera,Los Angeles,FQHC
637 Merced St,Newman,Stanislaus,FQHC
65 Third St,Point Reyes Station,Marin,FQHC
650 Meta St,Oxnard,Ventura,FQHC
6550 Front St,Forestville,Sonoma,FQHC
678 3rd Ave,Chula Vista,San Diego,FQHC
680 Fairplex Dr,Pomona,Los Angeles,FQHC
6901 S Atlantic Ave,Bell Gardens,Los Angeles,FQHC
69175 Ramon Rd,Cathedral City,Riverside,FQHC
701 E Cesar E Chavez Ave,Los Angeles,Los Angeles,FQHC
701 E Channel St,Stockton,San Joaquin,FQHC
701 W Cesar E Chavez Ave,Los Angeles,Los Angeles,FQHC
7107 Remmet Ave,Canoga Park,Los Angeles,FQHC
721 Calaveras St,Lodi,San Joaquin,FQHC
721 E 5th St,Los Angeles,Los Angeles,FQHC
7210 Murray Dr,Stockton,San Joaquin,FQHC
727 Wilson St,Los Angeles,Los Angeles,FQHC
728 E Valley Parkway,Escondido,San Diego,FQHC
730 Central Ave,Tracy,San Joaquin,FQHC
730 N Farmersville Blvd,Farmersville,Tulare,FQHC
75 5th St,Kettleman City,Kings,FQHC
7512 Morro Rd,Atascadero,San Luis Obispo,FQHC
77 Casa St,San Luis Obispo,San Luis Obispo,FQHC
7843 Lankershim Blvd,North Hollywood,Los Angeles,FQHC
7967 Broadway Ave,Lemon Grove,San Diego,FQHC
797 W Childs Ave,Merced,Merced,FQHC
7970 Lander Ave,Hilmar,Merced,FQHC
799 Front St,Soledad,Monterey,FQHC
801 S Chevy Chase Dr,Glendale,Los Angeles,FQHC
8041 Newman Ave,Huntington Beach,Orange,FQHC
808 Oak Ave,Greenfield,Monterey,FQHC
815 Dr Martin Luther King Jr Blvd,Bakersfield,Kern,FQHC
818 Webster St,Oakland,Alameda,FQHC
821 Texas Ave,Los Banos,Merced,FQHC
823 Gateway Center Way,San Diego,San Diego,FQHC
835 Webster St,Oakland,Alameda,FQHC
8465 Old Redwood Hwy,Windsor,Sonoma,FQHC
847 W Childs Ave,Merced,Merced,FQHC
8627 Atlantic Ave,South Gate,Los Angeles,FQHC
8788 Jamacha Rd,Spring Valley,San Diego,FQHC
88 Mesa Rd,Bolinas,Marin,FQHC
8856 Arlington Ave,Riverside,Riverside,FQHC
8902 Woodman Ave,Arleta,Los Angeles,FQHC
9 Crestview Dr,Watsonville,Santa Cruz,FQHC
900 Fallon St,Oakland,Alameda,FQHC
903 E Devonshire Ave,Hemet,Riverside,FQHC
911 Washington St,Calistoga,Napa,FQHC
9140 Van Nuys Blvd,Panorama City,Los Angeles,FQHC
935 Market St,Yuba City,Sutter,FQHC
9416 Rd,Terra Bella,Tulare,FQHC
9436 E Slauson Ave,Pico Rivera,Los Angeles,FQHC
950 Circle Dr,Salinas,Monterey,FQHC
950 S Euclid Ave,San Diego,San Diego,FQHC
9933 MacArthur Blvd,Oakland,Alameda,FQHC
995 Potrero Ave,San Francisco,San Francisco,FQHC
